School ID,School Name_x,Status as of 2024,Year,DropoutRate,NumDropouts,TotalStudents,AdjustedStudents,School Name_y,Latitude,Longitude,Student Count,Low Income Student Count,Graduation Rate,Atttendance Rate Current Year,Address State,Address Street,Address Zip Code,Is High School,Is Middle School,Is Elementarty School,Is Pre School,Statistics Summary,Demograhics Summary
400121,ACERO - DE LA CRUZ,,2011, , , , ,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2012, , , , ,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2013, , , , ,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2014,7.5,5,71,67,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2015,3.8,6,163,158,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2016,3,6,207,197,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2017,1.5,3,214,197,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2018,2.9,5,198,175,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2019,1.9,3,165,154,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
400121,ACERO - DE LA CRUZ,,2020,2.4,3,151,127,Acero Charter Schools - Sor Juana Inés de la Cruz,42.016476,-87.684406,381.0,348.0,88.2,90.0,Illinois,7416 N RIDGE Blvd,60645-1919,True,True,True,False,There are 381 students enrolled at ACERO - DE LA CRUZ.  91.3% are Low Income Students.  19.9% are Diverse Learners.  41.7% are Limited English Learners.,The largest demographic at ACERO - DE LA CRUZ is Black.  This demographic makes up 47.8% of the student population.  The second greatest demographic is Hispanic at 45.1%.
